id,fopt,freq,fts,machine,memory,natoms,nbasis,nproc,popt,sp,runtime
ns1.trestles.sdsc.teragrid.org.2583495.150423,1,1,0,1,1000,7,290,16,0,0,12587
mw4.comet.sdsc.xsede.org.543106.150514,1,0,0,3,8000,37,360,4,0,0,156060
ka5w.comet.sdsc.xsede.org.698757.150719,1,1,0,3,8000,53,355,16,0,0,68119
natr.comet.sdsc.xsede.org.525723.150506,1,1,0,3,0,3,54,0,0,0,8
mp10.trestles.sdsc.teragrid.org.2580173.150417,1,1,0,1,8000,64,609,16,0,0,129895
mh3.gordon.sdsc.edu.2082713.150606,0,0,0,2,8000,49,488,16,0,1,4858
ml74.comet.sdsc.xsede.org.600888.150616,1,1,0,3,8000,52,585,16,0,0,287470
mq91.comet.sdsc.xsede.org.631239.150701,0,0,0,3,8000,41,433,16,0,1,3779
n3t.comet.sdsc.xsede.org.1366396.151212,1,1,0,3,1000,5,168,16,0,0,1196
mk86.comet.sdsc.xsede.org.614335.150625,1,1,0,3,8000,96,712,16,0,0,21699
n4.comet.sdsc.xsede.org.1305982.151123,1,1,0,3,1000,3,136,16,0,0,468
mmj9.trestles.sdsc.teragrid.org.2576089.150413,0,0,0,1,8000,43,437,16,0,7,66619
mq1.comet.sdsc.xsede.org.636568.150701,0,0,0,3,8000,41,433,16,0,1,3848
mw5.comet.sdsc.xsede.org.543107.150514,1,0,0,3,8000,37,360,4,0,0,117446
mg27.comet.sdsc.xsede.org.575877.150602,1,0,0,3,8000,46,460,16,0,0,230397
PBC2.trestles.sdsc.teragrid.org.2465414.150129,1,1,0,1,1000,3,36,16,0,0,722
oba1homo.comet.sdsc.xsede.org.965839.150906,0,0,0,3,1000,25,416,16,0,1,1051
ka6.comet.sdsc.xsede.org.727666.150729,1,1,0,3,8000,55,369,16,0,0,82931
dh1p4opt.comet.sdsc.xsede.org.605253.150618,1,1,0,3,1000,24,221,16,0,0,4215
mg4.comet.sdsc.xsede.org.571743.150530,1,0,0,3,8000,40,422,16,0,0,102038
dav_r_2ph_xyl_mpw_freq.comet.sdsc.xsede.org.605243.150618,0,1,0,3,1000,44,387,16,0,0,11324
nb2a.comet.sdsc.xsede.org.806481.150818,1,0,0,3,2000,5,300,16,0,0,5544
4TS1r.trestles.sdsc.teragrid.org.2441611.150110,1,1,0,1,20000,54,558,12,0,0,62005
nc9b.trestles.sdsc.teragrid.org.2558321.150403,0,0,0,1,2000,6,412,16,0,1,1982275
am30.comet.sdsc.xsede.org.738749.150801,0,0,0,3,8000,41,433,16,0,1,3347
AMg1b3_m.comet.sdsc.xsede.org.586527.150608,1,1,0,3,16000,51,590,16,0,0,111096
mb16.comet.sdsc.xsede.org.553476.150519,1,0,0,3,8000,41,441,16,0,0,357833
hACa1m1.comet.sdsc.xsede.org.716413.150724,1,1,0,3,16000,39,483,16,0,0,40055
nm2.comet.sdsc.xsede.org.1311013.151124,1,1,0,3,1000,3,92,16,0,0,1955
dhent1sfirc.comet.sdsc.xsede.org.569374.150528,0,0,0,0,1000,24,217,16,0,0,82550
dh1t1optm.comet.sdsc.xsede.org.721484.150727,0,1,1,3,1000,24,221,16,0,0,16669
CH3Clb3.trestles.sdsc.teragrid.org.2569912.150405,1,1,0,1,0,5,165,0,0,0,766
kpy.comet.sdsc.xsede.org.936300.150902,1,1,0,3,8000,11,144,16,0,0,368
dh2tp4opt.comet.sdsc.xsede.org.644362.150702,1,1,0,3,1000,27,240,16,0,0,3824
mr53.comet.sdsc.xsede.org.530905.150508,1,1,0,3,8000,74,837,16,0,0,116681
default_job.comet.sdsc.xsede.org.1313696.151125,1,1,0,3,1000,5,124,16,0,0,1597
MS3add1-H2O-1irc-hf1b3.trestles.sdsc.teragrid.org.2578067.150415,1,1,0,1,16000,13,422,16,0,0,242220
mj23.trestles.sdsc.teragrid.org.2499390.150217,0,0,0,1,8000,0,0,16,0,8,76887
ml7.comet.sdsc.xsede.org.600802.150616,1,0,0,3,8000,49,488,16,0,0,591239
dh3tt3sf.comet.sdsc.xsede.org.595257.150612,0,1,0,3,1000,27,240,16,0,0,2036
mm59.comet.sdsc.xsede.org.600331.150616,1,1,0,3,8000,40,495,16,0,0,18518
n8.comet.sdsc.xsede.org.915662.150831,0,0,0,3,2000,7,250,16,0,1,179125
ACa1e2_1.trestles.sdsc.teragrid.org.2553131.150328,1,1,0,1,16000,51,603,16,0,0,549593
natr.comet.sdsc.xsede.org.586258.150608,1,0,0,3,500,3,19,1,0,0,2
Na_test_a.comet.sdsc.xsede.org.538283.150509,1,1,0,3,16000,68,752,16,0,0,84565
dh1tt4.comet.sdsc.xsede.org.573790.150601,0,1,1,3,1000,24,221,16,0,0,3415
n1y.comet.sdsc.xsede.org.1317686.151127,1,1,0,3,1000,5,124,16,0,0,858
test-000000-0000000-000000000-00000000000,0,0,0,3,16000,68,743,16,0,1,5750
TS1uqcisdtdzp.comet.sdsc.xsede.org.826080.150821,0,0,0,3,0,10,106,0,0,1,486
nb31.comet.sdsc.xsede.org.600351.150616,0,0,0,3,2000,7,292,16,0,1,283283
mn25.trestles.sdsc.teragrid.org.2579846.150416,1,1,0,1,8000,99,939,16,0,0,699817
k_1a_bp.comet.sdsc.xsede.org.556966.150520,1,1,0,3,16000,34,393,16,0,0,67645
dh1et2sfirc.comet.sdsc.xsede.org.573996.150601,0,0,0,0,1000,24,221,16,0,0,89405
mr82.comet.sdsc.xsede.org.649480.150704,0,0,0,3,8000,41,433,16,0,1,3375
bk1bk12.comet.sdsc.xsede.org.741921.150803,3,0,0,3,8000,47,673,16,0,0,1130942
md8.comet.sdsc.xsede.org.511942.150427,1,1,0,3,8000,49,492,16,0,0,20667
dav_r_benz_tol_mpw_freq.comet.sdsc.xsede.org.595448.150613,0,1,0,3,1000,33,300,16,0,0,4814
n1a.comet.sdsc.xsede.org.1313090.151125,1,1,0,3,1000,5,124,16,0,0,704
mi20.trestles.sdsc.teragrid.org.2588811.150426,1,1,0,1,8000,56,515,16,0,0,58871
nan5+.comet.sdsc.xsede.org.915684.150831,1,1,0,3,8000,15,198,4,0,0,1615
add1-H2O-1m.trestles.sdsc.teragrid.org.2538358.150310,1,1,0,1,16000,13,195,16,0,0,286204
y1.comet.sdsc.xsede.org.544507.150515,1,1,0,3,1000,24,146,16,0,0,1416
mb46.comet.sdsc.xsede.org.558078.150521,1,0,0,3,8000,41,441,16,0,0,358675
ch5c_1b.trestles.sdsc.teragrid.org.2484239.150209,0,1,0,1,5000,7,428,16,0,0,1463655
mn19.comet.sdsc.xsede.org.516854.150430,1,1,0,3,8000,49,612,16,0,0,35851
mn17.comet.sdsc.xsede.org.516852.150430,1,1,0,3,8000,51,492,16,0,0,20461
md2.trestles.sdsc.teragrid.org.2586228.150424,1,1,0,1,8000,41,402,16,0,0,144101
nm36.comet.sdsc.xsede.org.597760.150615,1,0,0,3,1000,7,292,16,0,0,47149
am26.comet.sdsc.xsede.org.738745.150801,0,0,0,3,8000,41,433,16,0,1,3782
n1s.comet.sdsc.xsede.org.1368732.151212,1,1,0,3,1000,5,168,16,0,0,4374
y1.trestles.sdsc.teragrid.org.2543323.150316,1,1,0,1,8000,41,342,4,0,0,40547
fa8.comet.sdsc.xsede.org.595465.150613,1,1,0,3,8000,10,376,16,0,0,62445
mx20.gordon.sdsc.edu.2052558.150514,1,0,0,2,8000,49,488,16,0,0,419257
new1.comet.sdsc.xsede.org.1339900.151203,1,1,0,3,1000,5,124,16,0,0,10059
1Na_b3_2b.comet.sdsc.xsede.org.567883.150528,1,1,0,3,16000,65,698,16,0,0,446020
mz1.comet.sdsc.xsede.org.670956.150707,1,1,0,3,8000,44,645,16,0,0,125758
natr.comet.sdsc.xsede.org.596334.150613,1,0,0,3,500,3,19,1,0,0,2
